"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-01","28","3,S","0","3,S",,,,,"22.8","3,S","25.9","3,,,S","19.7","3,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-02","26","2,S","0","2,S",,,,,"24.5","2,S","27.8","2,,,S","21.1","2,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-03","31",",S","0",",S",,,,,"23.0",",S","26.1",",,,S","19.8",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-06","26",",S","0",",S",,,,,"19.2",",S","23.3",",,,S","15.0",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-07","28",",S","0",",S",,,,,"19.6",",S","24.1",",,,S","15.1",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-08","25","2,S","0","2,S",,,,,"19.1","2,S","23.4","2,,,S","14.8","2,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-09","25","2,S","1","2,S",,,,,"20.1","2,S","24.0","2,,,S","16.2","2,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-10","27",",S","0",",S",,,,,"20.2",",S","23.7",",,,S","16.7",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2010-12","26","4,S","0","4,S",,,,,"22.2","4,S","25.2","4,,,S","19.2","4,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-01","28","3,S","0","3,S",,,,,"25.0","3,S","28.3","3,,,S","21.8","3,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-02","25","3,S","0","3,S",,,,,"25.1","3,S","28.4","3,,,S","21.8","3,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-03","28","3,S","0","3,S",,,,,"25.1","3,S","28.4","3,,,S","21.9","3,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-04","29",",S","0",",S",,,,,"21.3",",S","25.1",",,,S","17.5",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-05","25","1,S","0","1,S",,,,,"19.4","1,S","22.9","1,,,S","15.9","1,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-06","17","1,S","0","1,S",,,,,"17.7","3,S","21.7","1,,,S","13.6","3,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-08","16","1,S","0","1,S",,,,,"18.4","1,S","22.4","1,,,S","14.3","1,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-09","28","2,S","1","2,S",,,,,"20.3","2,S","23.9","2,,,S","16.7","1,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2011-10","30",",S","0",",S",,,,,"20.7",",S","23.9",",,,S","17.4",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-02","29",",S","0",",S",,,,,"25.5",",S","28.5",",,,S","22.5",",,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-03","29","2,S","0","2,S",,,,,"24.2","2,S","27.8","2,,,S","20.7","2,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-05","26","4,S","0","4,S",,,,,"21.5","4,S","25.6","4,,,S","17.3","4,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-06","23","5,S","0","5,S",,,,,"19.2","5,S","23.5","5,,,S","14.9","5,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-07","18","5,S","3","5,S",,,,,"18.9","5,S","23.2","5,,,S","14.6","5,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-08","21","2,S","1","2,S",,,,,"19.9","2,S","24.6","2,,,S","15.3","1,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-09","18","1,S","0","1,S",,,,,"18.4","1,S","22.1","1,,,S","14.7","1,,,S"
"SFM00068591","MARGATE, SF","-30.85","30.333","154.0","2012-11","25","3,S","1","3,S",,,,,"21.2","3,S","24.6","3,,,S","17.8","3,,,S"
