"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-01","0.00","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-02","0.00","59","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-03","0.30","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-04","0.03","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-05","0.19","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-06","0.00","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-07","0.00","53","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-08","3.12","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-09","0.42","58","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-10","0.00","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-11","0.00","58","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-12","0.00","55","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-13","0.00","60","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-14","0.00","56","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-15","0.00","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-16","0.00","59","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-17","0.00","58","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-18","0.15","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-19","0.00","57","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-20","0.00","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-21","0.00","57","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-22","0.25","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-23","0.00","57","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-24","0.27","60","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-25","0.12","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-26","0.00","54","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-27","0.00","60","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-28","0.00","66","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-29","0.00","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-30","0.00","64","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-31","0.00","65","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-01","0.00","73","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-02","0.00","73","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-03","0.00","76","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-04","0.00","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-05","0.00","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-06","0.00","75","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-07","0.00","72","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-08","0.00","74","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-09","0.00","74","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-10","0.00","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-11","0.00","63","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-12","0.00","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-13","0.00","63","49"
